2025-06-26 20:06:56.838260 | ID: 456 | class: chair | x: 0 | y: 223
2025-06-26 20:06:56.841255 | ID: 455 | class: chair | x: 0 | y: 223
2025-06-26 20:07:01.364894 | ID: 459 | class: chair | x: 0 | y: 223
2025-06-26 20:07:02.134085 | ID: 460 | class: chair | x: 0 | y: 223
2025-06-26 20:07:03.234761 | ID: 461 | class: chair | x: 0 | y: 223
2025-06-26 20:07:04.810144 | ID: 462 | class: chair | x: 0 | y: 223
2025-06-26 20:07:06.206387 | ID: 463 | class: chair | x: 0 | y: 223
2025-06-26 20:07:06.658957 | ID: 464 | class: chair | x: 0 | y: 223
2025-06-26 20:07:07.786834 | ID: 465 | class: chair | x: 0 | y: 224
2025-06-26 20:07:07.886969 | ID: 466 | class: chair | x: 3 | y: 257
2025-06-26 20:07:08.080245 | ID: 467 | class: chair | x: 295 | y: 232
2025-06-26 20:07:10.230047 | ID: 468 | class: chair | x: 0 | y: 223
2025-06-26 20:07:10.753650 | ID: 469 | class: chair | x: 0 | y: 223
2025-06-26 20:07:16.596040 | ID: 470 | class: chair | x: 0 | y: 223
2025-06-26 20:07:17.747246 | ID: 472 | class: chair | x: 0 | y: 224
2025-06-26 20:07:18.484883 | ID: 473 | class: chair | x: 0 | y: 224
2025-06-26 20:07:21.271340 | ID: 475 | class: chair | x: 0 | y: 223
2025-06-26 20:07:22.949831 | ID: 476 | class: chair | x: 0 | y: 224
2025-06-26 20:07:24.017243 | ID: 477 | class: chair | x: 0 | y: 223
2025-06-26 20:07:32.408661 | ID: 480 | class: chair | x: 0 | y: 223
2025-06-26 20:07:34.435190 | ID: 481 | class: chair | x: 0 | y: 223
2025-06-26 20:07:36.395212 | ID: 483 | class: chair | x: 4 | y: 257
2025-06-26 20:07:39.859054 | ID: 485 | class: chair | x: 0 | y: 224
2025-06-26 20:07:43.955723 | ID: 486 | class: chair | x: 0 | y: 223
2025-06-26 20:07:44.393347 | ID: 487 | class: chair | x: 0 | y: 224
2025-06-26 20:07:45.843171 | ID: 488 | class: chair | x: 0 | y: 223
2025-06-26 20:07:48.926630 | ID: 490 | class: chair | x: 0 | y: 224
2025-06-26 20:07:59.035153 | ID: 491 | class: chair | x: 0 | y: 222
2025-06-26 20:08:03.526709 | ID: 492 | class: chair | x: 0 | y: 220
2025-06-26 20:08:04.109549 | ID: 493 | class: chair | x: 0 | y: 223
2025-06-26 20:08:04.365307 | ID: 494 | class: chair | x: 0 | y: 224
2025-06-26 20:08:04.555057 | ID: 495 | class: chair | x: 8 | y: 206
2025-06-26 20:08:05.453934 | ID: 496 | class: chair | x: 5 | y: 280
2025-06-26 20:08:05.515119 | ID: 497 | class: chair | x: 295 | y: 232
2025-06-26 20:08:05.995764 | ID: 499 | class: chair | x: 0 | y: 224
2025-06-26 20:08:05.997728 | ID: 498 | class: chair | x: 0 | y: 224
2025-06-26 20:08:08.500065 | ID: 500 | class: chair | x: 5 | y: 259
2025-06-26 20:08:08.834973 | ID: 501 | class: chair | x: 4 | y: 258
2025-06-26 20:08:12.422097 | ID: 502 | class: chair | x: 0 | y: 224
2025-06-26 20:08:13.585656 | ID: 503 | class: chair | x: 0 | y: 224
2025-06-26 20:08:16.197453 | ID: 505 | class: chair | x: 0 | y: 224
2025-06-26 20:08:18.239782 | ID: 506 | class: chair | x: 0 | y: 224
2025-06-26 20:08:18.241781 | ID: 507 | class: chair | x: 4 | y: 263
2025-06-26 20:08:20.196192 | ID: 509 | class: chair | x: 0 | y: 223
2025-06-26 20:08:20.614309 | ID: 510 | class: chair | x: 0 | y: 224
2025-06-26 20:08:23.282770 | ID: 511 | class: chair | x: 0 | y: 223
2025-06-26 20:08:23.722586 | ID: 513 | class: chair | x: 0 | y: 223
2025-06-26 20:08:47.010691 | ID: 527 | class: chair | x: 0 | y: 221
